Text,Difficulty
"Je maîtrise le fonctionnement de ce logiciel, mais je n'en comprends pas la logique.",B1
Une équipe médicale mène une étude sur la cigarette électronique et va bientôt en publier les résultats.,B1
"Je vois bien l'intérêt de cet appareil, mais je n'en ai pas l'usage.",B1
"Ils auraient très vite envie de partir en voyage, mais ils n'en ont pas les moyens.",B1
Nous somment conscients de la difficulté de l'expédition et nous en assumons les risques.,B1
J'aimerais bien être figurant dans un film mais je n'ai pas encore eu l'occasion de l'être.,B1
Il souhaite faire fortune mais il n'en prend pas le chemin.,B1
Deux adolescents avouent plusieurs dizaines de cambriolage.,B1
"Sortons, faisons quelquechose, n'importe quoi, juste pour bouger un peu!",B1
Quelques secondes pour un butin de plusieurs milliers d'euros.,B1
Toujours aucune trace du braqueur de la banque.,B1
"C'est quelqu'un sur qui vous pouvez compter, vous pouvez vous fier à lui.",B1
"Lorsqu'un nouveau voisin emménage dans votre immeuble, vous pouvez le saluer.",B1
"Je te le suggère, je te le propose, je te le recommande.",B1
"Ce livre, tu me le conseilles ou tu me le déconseilles?",B1
Tout véhicule à moteur doit être assuré.,B1
"Au loin, la fasaise reçoit les premières lueurs du soleil.",B1
C'est facile.,A1
Je m'appelle John.,A1
La disparition d’une étudiante sénégalaise inquiète les autorités.,B1
"Elle entend le clapotis de vagues, le cri des enfants qui jouent, la sirène d'un bateau rentrant au port.",B1
"Une fois que le bateu a coulé, tout le monde sait comment on aurait pu le sauver.",B2
Baisse la tête jusqu'à ce que la vague soit passée.,B2
Pourquoi se jeter à l'eau avant que la barque n'ait chaviré?,B2
"Aussi longtemps que je n'aurai pas fini mes études, je serai comme un oiseau sur la branche.",B2
"Tant que l'on n'a pas encore traversé la rivière, on n'insulte pas le crocodile.",B2
"Des amis pour faire la fête, on en trouve des milliers, mais dès que l'on tombe dans la misère, il n'y a plus personne.",B2
Pendant combien de temps les monnaies nationales et la monnaie européenne ont-elles circulé conjointement?,B2
En quelle année a-t-on découvert le plus vieux squelette préhumain du monde?,B2
Il y a combien de temps qu'un homme a marché sur la lune pour la première fois?,B2
"Maintenant que j'ai mon Master de droit commercial, je vais commencer des études de lettres.",B2
"Maintenant que j'ai mon diplôme en poche, mon père va peut-être enfin me féliciter.",B2
Les trafiquants d'êtres humains prétendent garder les passeports de leur victimes pour mettre ces documents en lieu sûr.,B2
Il ne faut surtout pas arrêter la prise d'antibiotiques en cours de traitement sous prétexte que l'on se sent mieux.,B2
"L'un des principaux risque des soldes, c'est la tentation de tout acheter sous prétexte que ce n'est pas cher!",B2
Un automobiliste a été arrêté pour avoir brûlé un feu rouge.,B1
Les appréciations sur le bulletin de notes sont aussi importantes que les moyennes elles-mêmes.,B2
De nombreux opposants au projet se sont rassemblés en dépit de l'interdiction de manifester.,B2
"Quoique brève, notre entrevue a été productive.",B2
Tous ces préparatifs rendent chaque annéel'atmosphère festive et enjouée.,B1
Il n'y a qu'à observer la métamorphose des rues commerçantes pouren être convaincu.,B2
"Les passants semblent moins pressés, et s'attardent plus facilement devant une devanture ou dansles rayons.",B2
"En cette année du 700e anniversaire de sa mort, il a invité un descendant du poète à participer à une fausse audience de révision",B2
